author	work
Gerald Murnane	Tamarisk Row
Gerald Murnane	The Plains
Gertrude Stein	The Autobiography of Alice B. Toklas
Ghassan Kanafani	Men in the Sun and Other Palestinian Stories
Gillian Flynn	Gone Girl
Giorgio Bassani	The Garden of the Finzi-Continis
Giovanni Boccaccio	The Decameron of Boccaccio
Giuseppe Tomasi di Lampedusa	The Leopard
Graham Greene	Stamboul Train
Graham Greene	The End of the Affair
Graham Greene	The Power and the Glory
Graham Swift	Waterland
Gustave Flaubert	Madame Bovary
Gustave Flaubert	Sentimental Education
Günter Grass	The Tin Drum
H. G. Wells	The War of the Worlds
Halldór Laxness	Independant People
Halldór Laxness	The Fish Can Sing
Han Kang	Human Acts
Han Kang	The Vegetarian
Hanif Kureishi	The Buddha of Suburbia
Hans Jakob Christoffel von Grimmelshausen	Simplicissimus
Hanya Yanagihara	A Little Life
Harper Lee	To Kill a Mockingbird
Haruki Murakami	Kafka on the Shore
Heather Fawcett	Emily Wilde's Encyclopaedia of Faeries
Heinrich von Kleist	Michael Kohlhaas
Helen Dewitt	The Last Samurai
Helen Fielding	Bridget Jones's Diary
Henry Green	Caught
Henry James	The Ambassadors
Henry James	The Golden Bowl
Henry James	The Portrait of a Lady
Henry James	The Turn of the Screw
Henry James	The Wings of a Dove
Henry James	Washington Square
Henry Williamson	Tarka the Otter
Herman Melville	Moby-Dick
Hermann Hesse	Siddhartha
Hernán Díaz	In the Distance
Hilary Mantel	A Place of Greater Safety
Hilary Mantel	Bring up the Bodies
Hilary Mantel	The Mirror and the Light
Hilary Mantel	Wolf Hall
Honoré de Balzac	Cousin Bette
Ian McEwan	Atonement
Ian McEwan	The Child in Time
Ibn Tufayl	The Improvement of Human Reason
Iris Murdoch	A Severed Head
Iris Murdoch	The Bell
Iris Murdoch	The Black Prince
Iris Murdoch	The Sea, the Sea
Iris Murdoch	The Unicorn
Irmgard Keun	After Midnight
Irvine Welsh	Marabou Stork Nightmares
Irvine Welsh	Trainspotting
Irène Némirovsky	Suite Française
Isabel Allende	The House of the Spirits
Italo Calvino	If on a Winter's Night a Traveller
Italo Calvino	Invisible Cities
Italo Calvino	The Baron in the Trees
Italo Svevo	Confessions of Zeno
Itamar Vieira Junior	Crooked Plow
Ivan Aleksandrovich Goncharov	Oblomov
Ivo Andrić	The Bridge on the Drina
Ivy Compton-Burnett	Elders and Betters
J. D. Salinger	The Catcher in the Rye
J. G. Farrell	The Siege of Krishnapur
J. L. Carr	A Month in the Country
J. M. Coetzee	Summertime
J. M. Coetzee	Waiting for the Barbarians
J.R.R. Tolkien	The Hobbit
J.R.R. Tolkien	The Lord of the Rings
JL Carr	A Month in the Country
JM Coetzee	Disgrace
Jabbour Douaihy	June Rain
Jack Kerouac	On the Road
Jade Sharma	Problems
James Baldwin	Another Country
James Baldwin	Giovanni's Room
James Baldwin	Go Tell It on the Mountain
James Baldwin	If Beale Street Could Talk
James Ellroy	American Tabloid
James Hogg	The Private Memoirs and Confessions of a Justified Sinner
James Joyce	A Portrait of the Artist as a Young Man
James Joyce	Ulysses
James Kelman	How Late It Was, How Late
James Kelman	The Busconductor Hines
James Lloyd Carr	A Month in the Country
James Salter	All That Is
James Salter	Light Years
James Salter	Sport and a Pastime
Jane Austen	Emma
Jane Austen	Mansfield Park
Jane Austen	Persuasion
Jane Austen	Pride and Prejudice
Jane Austen	Sense and Sensibility
Jane Bowles	Two Serious Ladies
Jane Gardam	Old Filth Trilogy
Janice Galloway	The Trick Is to Keep Breathing
Javier Cercas	Soldiers of Salamis
Javier Marías	Heart so White
Jean Giono	The Man Who Planted Trees
Jean Rhys	Good Morning, Midnight
Jean Rhys	Voyage in the Dark
Jean Rhys	Wide Sargasso Sea
Jeffrey Eugenides	Middlesex
Jen Beagin	Big Swiss
Jennifer Egan	A Visit From the Goon Squad
Jenny Erpenbeck	Visitation
Jerome K. Jerome	Three Men in a Boat
Johann Wolfgang von Goethe	Elective Affinities
Johann Wolfgang von Goethe	Sorrows of Young Werther
John Berger	Pig Earth
John Buchan	The 39 Steps
John Bunyan	The Pilgrim's Progress
John Dos Passos	U.s.a.
John Fowles	The Collector
John Irving	A Prayer for Owen Meany
John Irving	The Cider House Rules
John McGahern	Amongst Women
John Steinbeck	Cannery Row
John Steinbeck	East of Eden
John Steinbeck	The Grapes of Wrath
John Updike	A Rabbit Omnibus
John Updike	Couples
John Updike	Rabbit Is Rich
John Updike	Rabbit at Rest
John Updike	Rabbit, Run
John le Carré	Smiley's People
John le Carré	The Spy Who Came in From the Cold
Jon Fosse	Septology
Jonathan Franzen	The Corrections
Jonathan Swift	Gulliver's Travels
Josefina Vicens	The Empty Book
Joseph Conrad	Heart of Darkness
Joseph Conrad	Nostromo
Joseph Conrad	The Secret Agent
Joseph Heller	Catch-22
Joseph Heller	Something Happened
Joseph Roth	The Radetzky March
Joseph Roth	The Tale of the 1002nd Night
José Saramago	All the Names
José Saramago	Blindness
Juan Rulfo	Pedro Páramo
Julia Alvarez	In the Time of the Butterflies
Julian Barnes	Flaubert's Parrot
Julian Barnes	The Noise of Time
Julio Cortázar	Hopscotch
Jun'ichirō Tanizaki	The Makioka Sisters
Kate Atkinson	Life After Life
Kaveh Akbar	Martyr!
Kawakami Hiromi	Record of a Night Too Brief
Kazuo Ishiguro	Klara and the Sun
Kazuo Ishiguro	Never Let Me Go
Kazuo Ishiguro	The Remains of the Day
Kenneth Patchen	The Journal of Albion Moonlight
Keri Hulme	The Bone People
Khaled Hosseini	A Thousand Splendid Suns
Kingsley Amis	Lucky Jim
Kiran Desai	The Loneliness of Sonia and Sunny
Knut Hamsun	Hunger
Kurt Vonnegut	Cat's Cradle
Kurt Vonnegut	Slaughterhouse-Five
L. P. Hartley	The Go-Between
Laila Lalami	The Moor's Account
Larry McMurtry	Lonesome Dove
Lauren Groff	Matrix
Laurence Sterne	A Sentimental Journey
Laurence Sterne	The Life and Opinions of Tristram Shandy
Laurence Sterne	The Life and Opinions of Tristram Shandy, Gentleman
Lawrence Durrell	The Alexandria Quartet
Leila Aboulela	The Translator
Leila Mottley	Nightcrawling
Leo Tolstoy	Anna Karenina
Leo Tolstoy	Ivan Ilyitch
Leo Tolstoy	War and Peace
Leslie Silko	Ceremony
Lewis Carroll	Alice in Wonderland
Lewis Carroll	Alice's Adventures in Wonderland
Lorrie Moore	Who Will Run the Frog Hospital?
Louise Erdrich	Love Medicine
Lucas Rijneveld	The Discomfort of Evening
Lucy Ellmann	Ducks, Newburyport
Lucy Maud Montgomery	Anne of Green Gables
Madame de La Fayette	La Princesse De Cleves
Madeline Miller	The Song of Achilles
Maggie O'Farrell	Hamnet
Malcolm Lowry	Under the Volcano
Malorie Blackman	Noughts & Crosses
Marcel Proust	In Search of Lost Time
Margaret Atwood	The Handmaid's Tale
Margaret Drabble	The Millstone
Margaret Oliphant	Miss Marjoribanks
Marghanita Laski	Little Boy Lost
Marguerite Duras	Moderato Cantabile
Marguerite Duras	The Lover
Marguerite Yourcenar	Memoirs of Hadrian
Marian Engel	Bear
Mariana Enriquez	Things We Lost in the Fire
Marilynne Robinson	Gilead
Marilynne Robinson	Home
Marilynne Robinson	Housekeeping
Mario Vargas Llosa	Aunt Julia and the Script-Writer
Mario Vargas Llosa	Conversation in the Cathedral
Mark Twain	Huckleberry Finn
Mark Z. Danielewski	House of Leaves
Marlon James	The Book of Night Women
Martin Amis	Money
Martin Amis	The Information
Mary Shelley	Frankenstein
Mathias Enard	Zone
Matthew Gregory Lewis	The Monk
Max Porter	Grief Is the Thing With Feathers
Mercè Rodoreda	In Diamond Square
Mercè Rodoreda	The Time of the Doves
Mervyn Peake	Gormenghast
Mervyn Peake	The Gormenghast Novels
Mervyn Peake	Titus Groan
Mia Couto	A River Called Time
Michael Chabon	The Amazing Adventures of Kavalier and Clay
Michael Frayn	Towards the End of the Morning
Michael Ondaatje	Coming Through Slaughter
Michael Ondaatje	In the Skin of a Lion
Michael Ondaatje	The English Patient
Miguel de Cervantes	Don Quixote
Mikhail Bulgakov	The Master and Margarita
Milan Kundera	The Unbearable Lightness of Being
Min Jin Lee	Pachinko
Miriam Toews	Women Talking
Miroslav Krleža	On the Edge of Reason
Mohsin Hamid	Exit West
Murasaki Shikibu	The Tale of Genji
Muriel Spark	A Far Cry From Kensington
Muriel Spark	Loitering With Intent
Muriel Spark	Memento Mori
Muriel Spark	The Girls of Slender Means
Muriel Spark	The Prime of Miss Jean Brodie
Máirtín Ó Cadhain	The Dirty Dust
Nadine Gordimer	A Guest of Honour
Nancy Mitford	The Pursuit of Love
Natalia Ginzburg	All Our Yesterdays
Natalia Ginzburg	The Road to the City
Nathaniel Hawthorne	The Scarlet Letter
Nella Larsen	Passing
Nella Larsen	Quicksand
Nellie Campobello	Cartucho
Nick Hornby	A Long Way Down
Nicola Barker	Darkmans
Nino Haratischvili	Eighth Life
Norton Juster	The Phantom Tollbooth
Nuruddin Farah	Maps
Ocean Vuong	On Earth We're Briefly Gorgeous
Octavia E Butler	Kindred
Octavia E. Butler	Parable of the Sower
Olga Ravn	The Employees
Olga Tokarczuk	Drive Your Plow Over the Bones of the Dead
Oliver Goldsmith	The Vicar of Wakefield
Osamu Dazai	No Longer Human
Oscar Casares	Where We Come From
Oscar Wilde	The Picture of Dorian Gray
P. G. Wodehouse	Right Ho, Jeeves
P. G. Wodehouse	The Code of the Woosters
Pat Barker	Union Street
Pat O'Shea	The Hounds of the Morrigan
Patricia Highsmith	The Talented Mr Ripley
Patrick Chamoiseau	Slave Old Man
Patrick Hamilton	The Slaves of Solitude
Patrick O'Brian	Aubrey-Maturin Series
Paul Auster	Leviathan
Paul Beatty	The Sellout
Paul Bowles	The Spider's House
Paul Golding	Senseless
Paul Murray	Bee Sting
Paulo Coelho	The Alchemist
Penelope Fitzgerald	The Beginning of Spring
Penelope Fitzgerald	The Blue Flower
Percival L. Everett	James
Percival L. Everett	Telephone
Percival L. Everett	The Trees
Peter Carey	Oscar & Lucinda
Peter Carey	True History of the Kelly Gang
Peter Høeg	Miss Smilla's Feeling for Snow
Philip Pullman	Northern Lights
Philip Roth	American Pastoral
Philip Roth	Operation Shylock
Philip Roth	Portnoy's Complaint
Primo Levi	If This Is a Man / the Truce
Pu Songling	Strange Tales From a Chinese Studio
R. C. Sherriff	The Fortnight in September,
R. J. Palacio	Wonder
R. K. Narayan	Swami and Friends
Rachel Carson	Silent Spring
Rachel Cusk	Outline
Rachel Cusk	Transit
Ralph Ellison	Invisible Man
Ray Bradbury	Farenheit 451
Raymond Chandler	The Big Sleep
Richard Adams	Watership Down
Richard Brautigan	Trout Fishing in America
Richard Ford	The Sportswriter
Richard Hughes	A High Wind in Jamaica
Richard McGuire	Here
Richard Powers	Overstory
Richard Wright	Black Boy
Richard Yates	Revolutionary Road
Richard Yates	The Easter Parade
Roald Dahl	Danny the Champion of the World
Robert Louis Stevenson	Dr. Jekyll and Mr. Hyde
Robert Louis Stevenson	The Strange Case of Dr. Jekyll and Mr. Hyde
Robert Musil	The Man Without Qualities
Robert Stone	A Flag for Sunrise
Roberto Bolaño	2666
Roberto Bolaño	By Night in Chile
Robertson Davies	The Deptford Trilogy
Rohinton Mistry	A Fine Balance
Rokeya Sakhawat Hossain	Sultana's Dream
Romain Gary	Promise at Dawn
Rose Tremain	Restoration
Rosemary Tonks	The Bloater
Rudyard Kipling	Kim
Russell Hoban	Riddley Walker
Ruth Ozeki	Tale for the Time Being
S. E. Hinton	The Outsiders
Sadegh Hedayat	The Blind Owl
Sally Rooney	Intermezzo
Sally Rooney	Normal People
Salman Rushdie	Haroun and the Sea of Stories
Salman Rushdie	Midnight's Children
Salman Rushdie	The Satanic Verses
Samuel Beckett	Molloy
Samuel Beckett	Murphy
Samuel Beckett	Samuel Beckett Trilogy Molloy; Malone Dies; the Unnamable
Samuel Richardson	Clarissa Harlowe
Samuel Richardson	Clarissa, Or, the History of a Young Lady
Samuel Selvon	The Lonely Londoners
Sarah Bernstein	The Coming Bad Days
Sarah Moss	Ghost Wall
Sarah Orne Jewett	The Country of the Pointed Firs
Sarah Waters	Fingersmith
Saul Bellow	Herzog
Saul Bellow	Humboldt's Gift
Saul Bellow	Seize the Day
Saul Bellow	The Adventures of Augie March
Scheherazade	One Thousand and One Nights
Selby Wynn Schwartz	After Sappho
Shirley Hazzard	The Transit of Venus
Shirley Jackson	The Haunting of Hill House
Shirley Jackson	We Have Always Lived in the Castle
Simin Daneshvar	Savushun
Stendhal	The Red and the Black
Stephen Crane	Red Badge of Courage
Stephen King	The Stand
Susan Cooper	Grey King
Susan Cooper	The Dark Is Rising
Susanna Clarke	Jonathan Strange & Mr. Norrell
Susanna Clarke	Piranesi
Sybille Bedford	A Compass Error
Sylvia Plath	The Bell Jar
Sylvia Townsend Warner	Lolly Willowes, Or, the Loving Huntsman
Tarjei Vesaas	The Ice Palace
Tayeb Salih	Season of Migration to the North
Thomas Bernhard	The Loser
Thomas Bernhard	Woodcutters
Thomas Hardy	Jude the Obscure
Thomas Hardy	Tess of the D'urbervilles
Thomas Hardy	The Return of the Native
Thomas Mann	Buddenbrooks
Thomas Mann	Death in Venice
Thomas Mann	Joseph and His Brothers
Thomas Mann	The Magic Mountain
Thomas Pynchon	Gravity's Rainbow
Tim Winton	Breath
Tim Winton	Cloudstreet
Tom Wolfe	The Bonfire of the Vanities
Toni Morrison	Beloved
Toni Morrison	Song of Solomon
Toni Morrison	Sula
Toni Morrison	Tar Baby
Toni Morrison	The Bluest Eye
Torrey Peters	Detransition, Baby
Torrey Peters	Stag Dance
Tove Jansson	Moominland Midwinter
Tove Jansson	The Summer Book
Truman Capote	In Cold Blood
Tsitsi Dangarembga	Nervous Conditions
U. R. Anantha Murthy	Samskara
Umberto Eco	The Name of the Rose
Ursula K Le Guin	The Left Hand of Darkness
Ursula K. Le Guin	A Wizard of Earthsea
Ursula K. Le Guin	Earthsea
Ursula K. Le Guin	The Dispossessed
V. S. Naipaul	A Bend in the River
V. S. Naipaul	The Enigma of Arrival
VS Naipaul	A House for Mr Biswas
Vasily Grossman	Life and Fate
Victor Hugo	Les Misérables
Victor Hugo	Notre Dame De Paris
Victor Hugo	The Hunchback of Notre-Dame
Vikram Seth	A Suitable Boy
Vikram Seth	The Golden Gate
Virginia Woolf	A Room of One's Own
Virginia Woolf	Jacob's Room
Virginia Woolf	Mrs Dalloway
Virginia Woolf	Orlando
Virginia Woolf	The Waves
Virginia Woolf	To the Lighthouse
Virginie Despentes	Vernon Subutex 1
Vladimir Nabokov	Invitation to a Beheading
Vladimir Nabokov	Lolita
Vladimir Nabokov	Pale Fire
Vladimir Nabokov	Pnin
Vladimir Nabokov	The Real Life of Sebastian Knight
WG Sebald	Austerlitz
WG Sebald	The Rings of Saturn
Walker Percy	The Moviegoer
Walter Scott	The Heart of Midlothian
Wang Xiaobo	Golden Age
Willa Cather	My Ántonia
Willa Cather	Shadows on the Rock
William Faulkner	As I Lay Dying
William Faulkner	Light in August
William Faulkner	The Sound and the Fury
William Gaddis	The Recognitions
William H. Gass	The Tunnel
William Hope Hodgson	House on the Borderland
William Makepeace Thackeray	Vanity Fair
William Maxwell	So Long, See You Tomorrow
William Somerset Maugham	The Razor's Edge
William Trevor	Felicia's Journey
William Trevor	Reading Turgenev
William Trevor	The Story of Lucy Gault
Wole Soyinka	Seasons of Anomy
Yael van der Wouden	The Safekeep
Yoko Ogawa	The Memory Police
Yoko Tawada	Scattered All Over the Earth
Yukio Mishima	Confessions of a Mask
Yukio Mishima	Thirst for Love
Yuko Tsushima	Territory of Light
Zadie Smith	Nw
Zadie Smith	White Teeth
Zora Neale Hurston	Their Eyes Were Watching God
Ágota Kristóf	The Third Lie
Álvaro Enrigue	Sudden Death
Émile Zola	Germinal
Émile Zola	Nana
