author	work	wikidataId
Sylvia Townsend Warner	Lolly Willowes, Or, the Loving Huntsman	Q6668990
Tarjei Vesaas	The Ice Palace	Q7741279
Tayeb Salih	Season of Migration to the North	Q921128
Thomas Bernhard	The Loser	Q358958
Thomas Bernhard	Woodcutters	Q876505
Thomas Hardy	Jude the Obscure	Q1248773
Thomas Hardy	Tess of the D'urbervilles	Q649409
Thomas Hardy	The Return of the Native	Q141568
Thomas Mann	Buddenbrooks	Q326909
Thomas Mann	Death in Venice	Q828296
Thomas Mann	Joseph and His Brothers	Q282181
Thomas Mann	The Magic Mountain	Q212898
Thomas Pynchon	Gravity's Rainbow	Q1212160
Tim Winton	Breath	Q4959816
Tim Winton	Cloudstreet	Q5135780
Tom Wolfe	The Bonfire of the Vanities	Q1401130
Toni Morrison	Beloved	Q971767
Toni Morrison	Song of Solomon	Q3480330
Toni Morrison	Sula	Q3503405
Toni Morrison	Tar Baby	Q7684981
Toni Morrison	The Bluest Eye	Q1069956
Torrey Peters	Detransition, Baby	Q107988234
Torrey Peters	Stag Dance	Q133522223
Tove Jansson	Moominland Midwinter	Q2914611
Tove Jansson	The Summer Book	Q7767247
Truman Capote	In Cold Blood	Q1142887
Tsitsi Dangarembga	Nervous Conditions	Q6996918
U. R. Anantha Murthy	Samskara	Q26186664
Umberto Eco	The Name of the Rose	Q172850
Ursula K Le Guin	The Left Hand of Darkness	Q2008211
Ursula K. Le Guin	A Wizard of Earthsea	Q1771810
Ursula K. Le Guin	Earthsea	Q116546
Ursula K. Le Guin	The Dispossessed	Q467720
V. S. Naipaul	A Bend in the River	Q482567
V. S. Naipaul	The Enigma of Arrival	Q7732266
VS Naipaul	A House for Mr Biswas	Q4657437
Vasily Grossman	Life and Fate	Q979609
Victor Hugo	Les Misérables	Q180736
Victor Hugo	Notre Dame De Paris	Q191380
Victor Hugo	The Hunchback of Notre-Dame	Q191380
Vikram Seth	A Suitable Boy	Q2918491
Vikram Seth	The Golden Gate	Q7737043
Virginia Woolf	A Room of One's Own	Q1204366
Virginia Woolf	Jacob's Room	Q1677745
Virginia Woolf	Mrs Dalloway	Q752584
Virginia Woolf	Orlando	Q1629456
Virginia Woolf	The Waves	Q1217475
Virginia Woolf	To the Lighthouse	Q478016
Virginie Despentes	Vernon Subutex 1	Q21009532
Vladimir Nabokov	Invitation to a Beheading	Q2332901
Vladimir Nabokov	Lolita	Q127149
Vladimir Nabokov	Pale Fire	Q1229792
Vladimir Nabokov	Pnin	Q289815
Vladimir Nabokov	The Real Life of Sebastian Knight	Q2351667
WG Sebald	Austerlitz	Q473389
WG Sebald	The Rings of Saturn	Q7760819
Walker Percy	The Moviegoer	Q7752560
Walter Scott	The Heart of Midlothian	Q2091094
Wang Xiaobo	Golden Age	Q10567210
Willa Cather	My Ántonia	Q2776448
Willa Cather	Shadows on the Rock	Q7460836
William Faulkner	As I Lay Dying	Q1544119
William Faulkner	Light in August	Q1823273
William Faulkner	The Sound and the Fury	Q135515
William Gaddis	The Recognitions	Q1212808
William H. Gass	The Tunnel	Q7770719
William Hope Hodgson	House on the Borderland	Q740473
William Makepeace Thackeray	Vanity Fair	Q612836
William Maxwell	So Long, See You Tomorrow	Q7549352
William Somerset Maugham	The Razor's Edge	Q759329
William Trevor	Felicia's Journey	Q5441700
William Trevor	Reading Turgenev	Q114761812
William Trevor	The Story of Lucy Gault	Q4791
Wole Soyinka	Seasons of Anomy	Q23307171
Yael van der Wouden	The Safekeep	Q130749180
Yoko Ogawa	The Memory Police	Q85721227
Yoko Tawada	Scattered All Over the Earth	Q139942587
Yukio Mishima	Confessions of a Mask	Q2444853
Yukio Mishima	Thirst for Love	Q2080456
Yuko Tsushima	Territory of Light	Q131299092
Zadie Smith	Nw	Q17016518
Zadie Smith	White Teeth	Q866980
Zora Neale Hurston	Their Eyes Were Watching God	Q1476619
Ágota Kristóf	The Third Lie	Q3227853
Álvaro Enrigue	Sudden Death	Q139947982
Émile Zola	Germinal	Q137869
Émile Zola	Nana	Q1138346
